worn,platform RMS,platform kur,platform fft total,platform rsf1,platform rsf2
5,0.285560098,4.028734556,3.477949026,0.31444389,0.408252097
5,0.301711038,4.434584275,3.503386241,0.321128648,0.405666599
10,0.301583586,2.947006958,3.641876832,0.106922254,0.666528157
10,0.289625766,2.883062193,3.462485626,0.115929544,0.600949473
10,0.297856269,2.963578179,3.395136957,0.102191505,0.650882975
10,0.288272383,2.885237327,3.333359273,0.112424226,0.647811168
10,0.282160241,2.87739139,3.425572019,0.099460102,0.576557576
10,0.279665565,2.841892882,3.474562278,0.119561004,0.58538021
10,0.28137602,2.887528812,3.960901946,0.089507901,0.619057205
10,0.27772345,2.904061265,4.115818,0.113993174,0.615645683
10,0.314227066,2.738385164,3.984508134,0.106857052,0.683103665
10,0.3059381,2.788958653,3.786412403,0.107248781,0.643901328
10,0.307461111,2.774238368,3.571705371,0.102047819,0.710644234
10,0.299751798,2.801295999,3.521046084,0.117165518,0.639660802
10,0.307564358,2.844606201,3.469663623,0.100355495,0.664580474
10,0.297078287,2.801762873,3.376302016,0.098036823,0.670688945
10,0.297385854,2.819686801,3.586851912,0.09194674,0.676430366
10,0.292326949,2.864034687,3.55730257,0.093486891,0.659846111
10,0.290354837,2.803056757,4.135824633,0.080513312,0.634749123
10,0.283258667,2.848276282,4.078076792,0.084261294,0.594594957
10,0.293589534,2.95907174,4.768116858,0.078259106,0.554429511
10,0.293431358,3.009726725,5.035804933,0.085645173,0.651267694
10,0.320454104,2.697757377,4.56896825,0.094266161,0.706519302
10,0.311698772,2.773760243,4.385749382,0.094312647,0.688679549
10,0.314569525,2.755404982,4.033474426,0.102559648,0.674132291
10,0.308576672,2.723864077,3.862735814,0.112658533,0.656037718
10,0.324264716,2.900029243,3.736240511,0.094313726,0.679489009
10,0.312405673,2.822073678,3.564911237,0.093336408,0.66855901
10,0.316869704,2.869001151,3.43926426,0.084038525,0.640528137
10,0.310335157,2.797934352,3.306827572,0.092563493,0.629659563
10,0.305548539,2.832765193,3.43846202,0.085208323,0.614564535
10,0.300109482,2.908975592,3.60563352,0.102312974,0.644825615
10,0.294426156,2.823167449,4.11631135,0.087855546,0.622990389
10,0.291396799,2.900092184,4.283597502,0.100156062,0.622127589
10,0.297133714,2.968376579,4.877609574,0.09375891,0.599681725
10,0.2970726,2.93921216,4.999939339,0.100291888,0.592576828
10,0.316796556,2.730950799,4.645157948,0.118835922,0.746841598
10,0.313295796,2.703825825,4.498677842,0.12330796,0.741444551
10,0.311990878,2.768558407,4.123281581,0.113189574,0.720087929
10,0.305065898,2.672246141,3.978104953,0.123589939,0.720020153
10,0.305332157,2.824577368,3.659524774,0.110585861,0.693575834
10,0.29599153,2.771045438,3.52796586,0.119348173,0.685200451
10,0.30486759,2.83788282,3.532582197,0.104678163,0.693156134
10,0.297321409,2.761395843,3.447532974,0.12095101,0.691867626
10,0.294900048,2.807895013,3.463562757,0.06364426,0.625222348
10,0.290317632,2.827982104,3.579859815,0.080260438,0.637796411
10,0.290176772,2.865992602,3.992748675,0.071068244,0.628267807
10,0.285047292,2.890302422,4.092584221,0.070518232,0.594124454
10,0.29020728,2.972416163,4.798489064,0.076546392,0.580039056
10,0.289670541,2.928226271,5.104525987,0.087657052,0.616429472
10,0.312927616,2.726660563,4.548858184,0.124712256,0.755386564
10,0.31087184,2.69666194,4.438251201,0.114718469,0.755044962
10,0.306923546,2.733898876,3.974947878,0.106604681,0.729554295
10,0.297155888,2.714536131,3.811920872,0.123134062,0.657414608
10,0.304514573,2.871584806,3.435619133,0.097232493,0.710473153
10,0.296548586,2.76302451,3.391504033,0.101491047,0.694505491
10,0.292025252,2.806382776,3.503876444,0.097830734,0.654960174
10,0.287690182,2.763051404,3.536895082,0.10959324,0.659848119
10,0.281310165,2.828937391,4.010183828,0.089853709,0.655659075
10,0.277477,2.793122699,4.133861191,0.094187015,0.649782839
10,0.293280657,2.916259266,4.815920779,0.084374955,0.664777159
10,0.291731427,2.90956392,4.991587211,0.097485547,0.649768031
0,0.147421306,3.938888322,2.433610585,0.055103774,0.172467207
0,0.148230613,4.069397292,2.389806611,0.05588879,0.15824563
0,0.144218856,3.983960652,2.088825138,0.057499689,0.191934037
0,0.141073071,3.953254259,2.032320023,0.062174156,0.1869197
0,0.14638012,4.07544565,1.703122649,0.071928758,0.190132947
0,0.142731309,4.026275058,1.652907514,0.075632512,0.178611812
0,0.143708666,4.03924241,1.780766165,0.073801557,0.160992756
0,0.141189921,3.910658357,1.744259831,0.075186242,0.172109899
0,0.142107571,4.015740898,2.068759279,0.081474615,0.129364936
0,0.142124017,3.948736831,2.24110545,0.085597104,0.141890153
0,0.144135761,3.969117452,1.662576589,0.078169372,0.129705017
